,part_number,description,quantity,price,roi
2747,2884129,"k-lens,signal,scout,smoke",1,64.99,-100.0
2748,2884155,"k-pad,pass,flrbrd,premium",6,279.99,-100.0
2749,2884164,"k-lines,ape,hndlbr,abs,retro",3,144.99,-71.43
2750,2884167-156,"k,-windshield,low,tint,chr",1,679.99,-100.0
2751,2884171,"k-15w60 indian ock,5qt",40,151.99,-87.56
2752,2884172,"lube-chain,indian,11oz",13,21.99,-96.7
2753,2884177-156,"k-hwy bar,frt,chrome",2,579.99,-100.0
2754,2884177-266,"k-hwy bar,frt,black",2,604.99,-100.0
2755,2884178,"k-mount,drvr backrest",3,254.99,-85.71
2756,2884182,"kit-oil change, indian ftr",32,117.99,-89.22
2757,2884186-156,"k-backrest,pass,chr",3,644.99,-88.89
2758,2884186-266,"k-backrest,pass,blk",3,619.99,-85.71
2759,2884190,"k-cover,ftr1200,all,wthr",1,259.99,-100.0
2760,2884226-vba,"k-seat,driver,comf,black",2,389.99,-57.14
2761,2884226-vna,"k-seat,driver,comf,brown",10,389.99,-100.0
2762,2884244,"oil-indian,fork type ii,",30,25.99,-93.43
2763,2884309,"k-65-spkr,audio,fa",2,834.99,-100.0
2764,2884329,"k-headlight,bobber fairing",1,129.99,-100.0
2765,2884390-410,"k-hndlbar,pullback,tour,pol",3,294.99,-71.43
2766,2884420,"k-nav,upgrade, connected,ind",1,709.99,-100.0
2767,2884422,"k-led headlight,common,intl",1,579.99,-57.14
2768,2884424-156,"k-asm,bar,c hgwy.chr",1,579.99,-57.14
2769,2884424-266,"k-asm,bar,c hgwy.blk",3,604.99,-100.0
2770,2884425-156,"k-asm,bar,mustache,hgwy,chr",2,579.99,-100.0
2771,2884425-266,"k-asm,bar,mustache,hgwy,blk",3,604.99,-85.71
2772,2884442-156,"k-headlight,adaptive,7 ,chr",3,834.99,-100.0
2773,2884442-266,"k-headlight,adaptive,7 ,blk",5,859.99,-100.0
2774,2884460,"k-cover,allweather,bagger,",1,259.99,-100.0
2775,2884461-266,"k-accy,airbox,ind,50st,glblk",1,619.99,-57.14
2776,2884470-266,"k-driving lights,crsr,blk",1,579.99,-100.0
2777,2884536,"oil-slingshot 5w50,1qt(12)",34,21.99,-95.65
2778,2884537,"oil-slingshot 5w50,1gal(4)",7,76.99,-85.92
2779,2884538,"antifreeze-ss elc,1gal(4)",4,36.99,-100.0
2780,2884573,"k-stg2,ind 108 cams",1,964.99,-14.28
2781,2884575-266,"k-hndlbar,midrise,cmf,blk",2,579.99,-100.0
2782,2884600-156,"k-fuel cap,locking,chr",8,129.99,-100.0
2783,2884600-266,"k-fuel cap,locking,blk",6,129.99,-71.43
2784,2884619-156,"k-backrest,pass,chr",1,424.99,-100.0
2785,2884619-266,"k-backrest,pass,blk",2,449.99,-100.0
2786,2884620-vba,"k-pad,pass backrest,vin,blk",2,254.99,-100.0
2787,2884631-156,"k-pass,backrest,fixed,chr",2,424.99,-100.0
2788,2884631-266,"k-pass,backrest,fixed,blk",2,449.99,-78.57
2789,2884632-156,"k-pass,backrest,lck and rd,chr",1,424.99,-100.0
2790,2884632-266,"k-pass,backrest,lck and rd,blk",1,449.99,-57.14
2791,2884641-vba,"k-seat,solo,ext,blk",1,279.99,-100.0
2792,2884641-vbc,"k-seat,solo,ext,blk2",1,279.99,-100.0
2793,2884642-vba,"k-seat,bagr,ext,blk",2,279.99,-100.0
2794,2884643-vba,"k-seat,bagr,rdu,blk",1,279.99,-100.0
2795,2884644-vba,"k-seat,pass,blk",2,279.99,-100.0
2796,2884667,"k-grip,heated",5,324.99,-65.71
2797,2884672-156,"k-rack,solo,chr",2,259.99,-100.0
2798,2884672-266,"k-rack,solo,blk",2,279.99,-78.57
2799,2884677,k-wind deflector mount,4,259.99,-89.29
2800,2884688,"k-wind deflector,bobber,mid",6,194.99,-92.86
2801,2884689,"k-wind deflector,bobber,low",1,169.99,-100.0
2802,2884693-266,"k-ws,tall,clr,blk",2,679.99,-100.0
2803,2884693-410,"k-ws,tall,clr,plshd",2,679.99,-100.0
2804,2884708-156,"k-light,driving,led,chr",2,279.99,-78.57
2805,2884708-266,"k-light,driving,led,blk",3,294.99,-85.71
2806,2884711-156,"k-light,mnt,chftn,chr",1,259.99,-57.14
2807,2884711-266,"k-light,mnt,chftn,blk",1,294.99,-57.14
2808,2884718-156,"k-asm,bar,hgwy,chr",2,489.99,-57.14
2809,2884718-266,"k-asm,bar,hgwy,blk",2,514.99,-100.0
2810,2884721-266,"k-exh tip,slash,blk",1,329.99,-100.0
2811,2884722-156,"k-exh tip,fish,chr",1,424.99,-57.14
2812,2884727-vba,"k-pad,pass backrest,vin,blk",1,254.99,-100.0
2813,2884772-266,"k-shifter heel,blk",3,244.99,-100.0
2814,2884775-156,"k-fog light,chr",2,389.99,-100.0
2815,2884775-266,"k-fog light,blk",2,409.99,-100.0
2816,2884787,"k-closeouts-lower,rigid",4,279.99,-100.0
2817,2884801-vba,"k-backrest,bagr,pass,vinyl",4,254.99,-100.0
2818,2884802-vba,"k-backrest,pass,vinyl",1,254.99,-57.14
2819,2884862-vba,"k-bag,solo rack,blk",1,359.99,-57.14
2820,2884899-156,"k-mount,driving light,3.5 ,chr",2,259.99,-100.0
